title,short_content,long_content
"환율","다른 나라 돈과 우리나라 돈의 교환 비율이에요","미국 돈 1달러가 우리나라 돈 1200원이라면, 환율이 1200원이라고 해요. 환율이 오르면 해외여행이 비싸져요."
"무역","나라 간에 물건을 사고파는 것을 말해요","우리나라에서 만든 자동차를 다른 나라에 팔거나, 다른 나라에서 만든 옷을 사오는 것이 무역이에요."
"수출","우리나라에서 만든 물건을 다른 나라에 파는 것을 말해요","우리나라에서 만든 스마트폰을 외국에 파는 것이 수출이에요. 수출이 많으면 나라 경제가 좋아져요."
"수입","다른 나라에서 만든 물건을 우리나라에 사오는 것을 말해요","외국에서 만든 초콜릿을 우리나라에서 사는 것이 수입이에요. 수입이 많으면 외국 물건을 많이 접할 수 있어요."
"재정","정부의 돈 관리 상태를 말해요","정부가 세금을 걷고, 그 돈으로 학교나 도로를 만드는 것이 재정이에요. 재정이 튼튼해야 나라가 잘 돌아가요."
"예금","은행에 돈을 맡기는 것을 말해요","용돈을 은행에 맡기면, 나중에 이자를 붙여 돌려받을 수 있어요. 이렇게 돈을 맡기는 것을 예금이라고 해요."
"대차","돈을 빌리거나 빌려주는 것을 말해요","친구에게 돈을 빌려주거나, 은행에서 돈을 빌리는 것이 대차에요. 나중에 꼭 갚아야 해요."
"채권","정부나 회사가 돈을 빌리기 위해 발행하는 증서에요","정부가 도로를 만들기 위해 돈이 필요할 때, 채권을 발행해서 돈을 빌려요. 나중에 이자를 붙여 갚아요."
"주식","회사의 소유권을 나누어 가진 것을 말해요","회사의 주식을 사면 그 회사의 일부를 소유하게 돼요. 주식이 오르면 돈을 벌 수 있어요."
"배당","회사가 이익을 나눠주는 것을 말해요","회사가 돈을 많이 벌면, 주식을 가진 사람들에게 이익을 나눠줘요. 이걸 배당이라고 해요."
"경상","일상적인 경제 활동을 말해요","매일매일 물건을 사고파는 것처럼, 일상적으로 이루어지는 경제 활동을 경상이라고 해요."
"자유무역","나라 간에 물건을 자유롭게 사고파는 것을 말해요","관세 없이 나라 간에 물건을 자유롭게 사고파는 것을 자유무역이라고 해요. 이렇게 하면 물건이 더 싸게 살 수 있어요."
"관세","수입품에 부과하는 세금을 말해요","외국에서 들어오는 물건에 붙는 세금이 관세에요. 관세가 높으면 외국 물건이 비싸져요."
"경제성장","나라의 경제가 커지는 것을 말해요","사람들이 더 많은 물건을 사고, 회사가 더 많은 돈을 벌면 경제가 성장해요. 경제성장이 이루어지면 모두가 더 잘 살 수 있어요."
"소비","물건이나 서비스를 사용하는 것을 말해요","마트에서 과자를 사서 먹거나, 영화를 보는 것처럼 물건이나 서비스를 사용하는 모든 것을 소비라고 해요."
"생산","물건이나 서비스를 만들어내는 것을 말해요","공장에서 자동차를 만들거나, 농장에서 쌀을 재배하는 것처럼 물건을 만들어내는 모든 것을 생산이라고 해요."
"노동","일을 해서 돈을 버는 것을 말해요","엄마 아빠가 회사에서 일하거나, 내가 아르바이트를 하는 것처럼 일을 해서 돈을 버는 모든 것을 노동이라고 해요."
"자본주의","개인이 자유롭게 경제 활동을 할 수 있는 경제 체제에요","내가 원하는 물건을 사고팔 수 있는 자유가 있는 경제 체제를 자본주의라고 해요."
"사회주의","정부가 경제를 관리하는 경제 체제에요","정부가 물건의 가격을 정하고, 경제를 관리하는 체제를 사회주의라고 해요."
"복지","모두가 잘 살 수 있도록 돕는 제도에요","정부가 병원비를 지원하거나, 실업자에게 돈을 주는 것처럼 모두가 잘 살 수 있도록 돕는 제도를 복지라고 해요."
"실업","일할 수 있는 사람이 일자리를 찾지 못하는 상태에요","일하고 싶지만 일자리가 없어서 일을 못하는 상태를 실업이라고 해요. 실업이 많으면 경제가 어려워져요."
"인건비","일한 사람에게 주는 돈을 말해요","아르바이트를 해서 받는 돈이나, 회사에서 직원에게 주는 월급이 인건비에요."
"물류","물건을 이동시키는 과정을 말해요","공장에서 만든 물건을 트럭으로 가게에 보내는 것처럼 물건을 이동시키는 모든 과정을 물류라고 해요."
"유통","물건을 소비자에게 전달하는 과정을 말해요","공장에서 만든 물건이 가게에 진열되고, 소비자가 사는 모든 과정을 유통이라고 해요."
"브랜드","특정 회사나 제품을 나타내는 이름이나 상징이에요","나이키의 스우시나, 애플의 사과 로고처럼 특정 회사나 제품을 나타내는 것을 브랜드라고 해요."
"마케팅","상품을 잘 팔기 위한 전략을 말해요","광고를 하거나, 할인 행사를 하는 것처럼 상품을 잘 팔기 위한 모든 전략을 마케팅이라고 해요."
"광고","상품이나 서비스를 알리는 활동이에요","TV나 인터넷에서 상품을 소개하는 것을 광고라고 해요. 광고를 보면 상품에 대해 더 잘 알 수 있어요."
"프랜차이즈","같은 브랜드로 여러 가게를 운영하는 것을 말해요","맥도날드나 스타벅스처럼 같은 브랜드로 여러 가게를 운영하는 것을 프랜차이즈라고 해요."
"벤처","새로운 아이디어로 사업을 시작하는 회사를 말해요","새로운 기술로 사업을 시작하는 작은 회사를 벤처라고 해요. 벤처는 혁신적인 아이디어로 성공할 수 있어요."
"스타트업","새로운 아이디어로 시작한 작은 회사를 말해요","새로운 앱을 개발하거나, 독특한 상품을 만드는 작은 회사를 스타트업이라고 해요."
"혁신","새로운 아이디어나 방법을 도입하는 것을 말해요","스마트폰이 처음 나왔을 때처럼, 새로운 기술이나 아이디어를 도입하는 것을 혁신이라고 해요."
"기술","문제를 해결하기 위한 방법이나 도구를 말해요","컴퓨터를 사용하거나, 로봇을 만드는 것처럼 문제를 해결하기 위한 모든 방법이나 도구를 기술이라고 해요."
"산업","물건을 만들거나 서비스를 제공하는 모든 활동을 말해요","자동차를 만들거나, 영화를 제작하는 것처럼 물건을 만들고 서비스를 제공하는 모든 활동을 산업이라고 해요."
"경제","사람들이 물건을 사고파는 모든 활동을 말해요","마트에서 장을 보거나, 회사에서 물건을 만드는 것처럼 사람들이 물건을 사고파는 모든 활동을 경제라고 해요."
"자원","물건을 만들기 위해 필요한 모든 것을 말해요","나무, 물, 석유처럼 물건을 만들기 위해 필요한 모든 것을 자원이라고 해요."
"환경","사람들이 살아가는 자연과 사회를 말해요","숲, 바다, 공기처럼 사람들이 살아가는 모든 자연과 사회를 환경이라고 해요."
"지속가능","미래를 위해 현재를 잘 관리하는 것을 말해요","나무를 심고, 쓰레기를 줄이는 것처럼 미래를 위해 현재를 잘 관리하는 것을 지속가능이라고 해요."
"에너지","일을 할 수 있는 힘을 말해요","전기, 석유, 태양광처럼 일을 할 수 있는 모든 힘을 에너지라고 해요."
"재생에너지","다시 사용할 수 있는 에너지를 말해요","태양광, 풍력처럼 다시 사용할 수 있는 에너지를 재생에너지라고 해요."
"화석연료","오래된 생물의 잔해로 만들어진 연료를 말해요","석탄, 석유처럼 오래된 생물의 잔해로 만들어진 연료를 화석연료라고 해요."
"기후변화","지구의 기후가 변하는 현상을 말해요","지구가 점점 더워지거나, 비가 많이 오는 것처럼 기후가 변하는 현상을 기후변화라고 해요."
"온실가스","지구를 따뜻하게 만드는 가스를 말해요","이산화탄소, 메탄처럼 지구를 따뜻하게 만드는 가스를 온실가스라고 해요."
"탄소발자국","사람이 활동하면서 배출하는 이산화탄소의 양을 말해요","자동차를 타거나, 전기를 사용할 때 배출되는 이산화탄소의 양을 탄소발자국이라고 해요."
"친환경","환경을 보호하는 것을 말해요","나무를 심거나, 재활용을 하는 것처럼 환경을 보호하는 모든 활동을 친환경이라고 해요."
"재활용","다시 사용할 수 있도록 처리하는 것을 말해요","플라스틱 병을 모아서 다시 사용하는 것처럼, 쓰레기를 다시 사용할 수 있도록 처리하는 것을 재활용이라고 해요."
"순환경제","자원을 계속해서 사용하는 경제를 말해요","쓰레기를 줄이고, 자원을 다시 사용하는 경제를 순환경제라고 해요."
"공정무역","생산자에게 정당한 대가를 주는 무역을 말해요","커피 농부에게 정당한 대가를 주고 커피를 사는 무역을 공정무역이라고 해요."
"로컬푸드","지역에서 생산된 식품을 말해요","우리 동네 농장에서 재배한 채소나 과일처럼, 지역에서 생산된 식품을 로컬푸드라고 해요."
"유기농","화학 비료나 농약을 사용하지 않고 재배한 농산물을 말해요","화학 비료나 농약을 사용하지 않고 재배한 채소나 과일을 유기농이라고 해요."
"비건","동물성 식품을 먹지 않는 식단을 말해요","고기, 우유, 계란을 먹지 않고, 채소와 과일만 먹는 식단을 비건이라고 해요."
"페어트레이드","생산자에게 정당한 대가를 주는 무역을 말해요","커피 농부에게 정당한 대가를 주고 커피를 사는 무역을 페어트레이드라고 해요."
"공유경제","자원을 함께 사용하는 경제를 말해요","자동차를 함께 타거나, 집을 함께 사용하는 경제를 공유경제라고 해요."
"크라우드펀딩","많은 사람에게서 자금을 모으는 것을 말해요","새로운 아이디어를 실현하기 위해 많은 사람에게서 자금을 모으는 것을 크라우드펀딩이라고 해요."
"핀테크","금융과 기술이 결합된 서비스를 말해요","스마트폰으로 은행 업무를 보거나, 간편 결제를 하는 서비스를 핀테크라고 해요."
"블록체인","데이터를 안전하게 저장하는 기술을 말해요","비트코인 같은 암호화폐를 안전하게 거래할 수 있도록 돕는 기술을 블록체인이라고 해요."
"암호화폐","디지털 형태의 화폐를 말해요","비트코인, 이더리움처럼 디지털 형태로 거래되는 화폐를 암호화폐라고 해요."
"인공지능","컴퓨터가 사람처럼 생각하고 학습하는 기술을 말해요","스마트폰의 음성 인식이나, 자율주행차처럼 컴퓨터가 사람처럼 생각하고 학습하는 기술을 인공지능이라고 해요."
"빅데이터","매우 큰 규모의 데이터를 말해요","인터넷에서 수집한 방대한 양의 데이터를 빅데이터라고 해요. 빅데이터를 분석하면 새로운 정보를 얻을 수 있어요."
"사물인터넷","사물이 인터넷으로 연결된 것을 말해요","냉장고가 인터넷에 연결되어 스마트폰으로 제어할 수 있는 것을 사물인터넷이라고 해요."
"클라우드","인터넷을 통해 데이터를 저장하고 사용하는 것을 말해요","컴퓨터에 저장하지 않고, 인터넷을 통해 데이터를 저장하고 사용하는 것을 클라우드라고 해요."
"디지털","전자기기를 통해 정보를 처리하는 것을 말해요","컴퓨터나 스마트폰을 통해 정보를 처리하는 모든 것을 디지털이라고 해요."
"모바일","휴대폰이나 태블릿을 통해 정보를 처리하는 것을 말해요","스마트폰이나 태블릿을 통해 정보를 처리하는 모든 것을 모바일이라고 해요."
"앱","스마트폰이나 컴퓨터에서 사용하는 프로그램을 말해요","카카오톡, 유튜브처럼 스마트폰이나 컴퓨터에서 사용하는 프로그램을 앱이라고 해요."
"소셜미디어","사람들이 온라인에서 소통하는 플랫폼을 말해요","페이스북, 인스타그램처럼 사람들이 온라인에서 소통하는 플랫폼을 소셜미디어라고 해요."
"네트워크","컴퓨터나 기기가 연결된 것을 말해요","인터넷이나 와이파이처럼 컴퓨터나 기기가 연결된 모든 것을 네트워크라고 해요."
"데이터","정보를 나타내는 모든 것을 말해요","컴퓨터에 저장된 사진, 문서, 숫자처럼 정보를 나타내는 모든 것을 데이터라고 해요."
"알고리즘","문제를 해결하기 위한 절차나 방법을 말해요","컴퓨터가 문제를 해결하기 위해 따라야 할 절차나 방법을 알고리즘이라고 해요."
"프로그래밍","컴퓨터가 일을 하도록 명령을 작성하는 것을 말해요","컴퓨터가 일을 하도록 명령을 작성하는 것을 프로그래밍이라고 해요. 프로그래밍을 통해 앱이나 게임을 만들 수 있어요."
"코딩","컴퓨터가 이해할 수 있는 언어로 명령을 작성하는 것을 말해요","컴퓨터가 이해할 수 있는 언어로 명령을 작성하는 것을 코딩이라고 해요. 코딩을 통해 컴퓨터가 일을 하도록 할 수 있어요."
"로봇","사람을 대신해 일을 하는 기계를 말해요","청소를 하거나, 공장에서 물건을 만드는 기계를 로봇이라고 해요. 로봇은 사람을 대신해 일을 할 수 있어요."
"드론","무인 비행기를 말해요","카메라를 달고 하늘을 날아다니며 사진을 찍는 무인 비행기를 드론이라고 해요."
"가상현실","컴퓨터로 만들어진 가상의 세계를 말해요","컴퓨터로 만들어진 가상의 세계에 들어가서 체험할 수 있는 것을 가상현실이라고 해요."
"증강현실","현실 세계에 가상의 정보를 더하는 것을 말해요","스마트폰 화면을 통해 현실 세계에 가상의 정보를 더하는 것을 증강현실이라고 해요."
"3D프린팅","3차원 물체를 프린터로 만드는 기술을 말해요","컴퓨터로 설계한 3차원 물체를 프린터로 만드는 기술을 3D프린팅이라고 해요."
"나노기술","아주 작은 물질을 다루는 기술을 말해요","아주 작은 물질을 다루어 새로운 물질을 만드는 기술을 나노기술이라고 해요."
"바이오","생명과학을 기반으로 한 기술을 말해요","유전자 연구나, 새로운 약을 개발하는 것처럼 생명과학을 기반으로 한 기술을 바이오라고 해요."
"우주","지구 밖의 공간을 말해요","별, 행성, 은하처럼 지구 밖의 모든 공간을 우주라고 해요."
"항공","비행기를 통해 하늘을 나는 것을 말해요","비행기를 타고 하늘을 나는 모든 것을 항공이라고 해요."
"해양","바다와 관련된 모든 것을 말해요","바다에서 물고기를 잡거나, 배를 타고 여행하는 모든 것을 해양이라고 해요."
"농업","식물을 재배하고 동물을 기르는 것을 말해요","쌀을 재배하거나, 소를 기르는 모든 것을 농업이라고 해요."
"축산","동물을 기르는 것을 말해요","소, 돼지, 닭을 기르는 모든 것을 축산이라고 해요."
"어업","물고기를 잡는 것을 말해요","바다나 강에서 물고기를 잡는 모든 것을 어업이라고 해요."
"광업","광물을 채굴하는 것을 말해요","금, 은, 석탄을 채굴하는 모든 것을 광업이라고 해요."
"제조업","물건을 만드는 산업을 말해요","자동차, 가전제품, 의류를 만드는 모든 산업을 제조업이라고 해요."
"서비스업","사람들에게 서비스를 제공하는 산업을 말해요","음식점, 호텔, 병원처럼 사람들에게 서비스를 제공하는 모든 산업을 서비스업이라고 해요."
"건설업","건물을 짓는 산업을 말해요","아파트, 다리, 도로를 짓는 모든 산업을 건설업이라고 해요."
"부동산","토지나 건물을 사고파는 것을 말해요","집이나 땅을 사고파는 모든 것을 부동산이라고 해요."
"금융","돈을 관리하고 운영하는 것을 말해요","은행에서 돈을 빌리거나, 주식을 사고파는 모든 것을 금융이라고 해요."
"보험","위험에 대비해 미리 돈을 내고 보호받는 제도에요","자동차 사고나 병원비 같은 큰 돈이 드는 일을 대비해 매달 조금씩 돈을 내고, 사고가 나면 보상받는 것이 보험이에요."
"세금","정부가 국민에게 걷는 돈이에요","학교나 도로를 만드는 데 필요한 돈을 위해 정부가 우리에게 걷는 돈이 세금이에요. 물건을 살 때 내는 부가가치세도 포함돼요."
"경기","경제 활동의 상태를 나타내는 말이에요","사람들이 물건을 많이 사고, 회사가 잘 돌아가면 경기가 좋다고 해요. 반대로 물건이 안 팔리고 회사가 어려우면 경기가 나쁘다고 해요."
